,bank,card,act
288,{},{},"{'電影': 2, '保險': 2}"
289,{},{},{'海外': 2}
290,{},{},"{'機場': 2, '旅遊': 1}"
291,{'玉山': 6},{'Pi': 16},{}
292,{},{},{}
293,{},{},{'加油': 2}
294,{},{},{}
295,"{'中信': 7, '中國信託': 4, '玉山': 1}",{},{'海外': 1}
296,{},{},"{'機票': 3, '機場': 1}"
297,{},{},{'加油': 1}
298,{},{},{'電影': 1}
299,{},{},"{'飯店': 12, '旅遊': 1}"
300,{},{},{}
301,{},{},{'加油': 5}
302,{},{},{}
303,{},{},"{'旅遊': 1, '旅行': 1}"
304,"{'永豐': 2, '國泰世華': 1, '中信': 1, '玉山': 1, '台新': 1}",{},{}
305,{},{},{}
306,{},{},{}
307,{},{},{}
308,{},{},{}
309,{'台新': 1},{'大戶': 1},"{'保險': 1, '海外': 1, '旅遊': 1, '出國': 1}"
310,{},{},{}
311,"{'中信': 7, '台新': 4, '國泰': 3, '玉山': 2, '永豐': 4, '兆豐': 2}",{},"{'加油': 1, '飯店': 1}"
312,{},{},{'飯店': 1}
313,{},{},"{'旅遊': 4, '旅行': 3, '保險': 4, '機票': 3, '國外': 5, '出國': 2}"
314,"{'中信': 6, '國泰': 4, '玉山': 1, '永豐': 3, '兆豐': 1, '台新': 1}",{},"{'機票': 1, '飯店': 1}"
315,"{'台新': 7, '國泰世華': 6, '玉山': 6}",{},{'國賓': 1}
316,{},{},{}
317,{},{},{}
318,{},{},{'國外': 1}
319,{},{},"{'機票': 4, '飯店': 3, '機場': 2, '旅行': 1}"
320,{},{},{}
321,{},{},{'海外': 1}
322,"{'台新': 7, '國泰世華': 9, '玉山': 8, '中國信託': 1}",{},{}
323,{},{},{}
324,{},{},"{'出國': 1, '旅遊': 4, '國外': 1}"
325,{},{},"{'旅遊': 1, '旅行': 2, '飯店': 1, '機票': 1}"
326,{},{},"{'出國': 4, '保險': 9, '機票': 1, '旅平險': 4, '海外': 4, '國外': 1, '旅遊': 5, '旅行': 7, '保費': 1}"
327,{},{},{'加油': 1}
328,"{'國泰世華': 1, '兆豐': 1, '永豐': 1, '玉山': 1, '台新': 1, '中信': 1}",{},{}
329,{'台新': 2},{},{}
330,{},{},{'飯店': 4}
331,{},{},{}
332,{},{},{}
333,{},{},{}
334,"{'中信': 3, '台新': 4, '國泰': 1}",{},{}
335,"{'中信': 1, '台新': 1}",{},"{'海外': 1, '國外': 1}"
336,{},{},{}
337,{},{},{'國外': 2}
338,{'台新': 1},{},"{'出國': 5, '海外': 9, '旅遊': 9, '國外': 2, '機場': 1}"
339,"{'台新': 2, '國泰': 1}",{},"{'出國': 3, '旅行': 3, '機場': 8, '海外': 6, '機票': 9, '旅遊': 5, '旅平險': 2}"
340,"{'台新': 2, '國泰': 1}",{},"{'旅遊': 6, '海外': 7, '機票': 10, '旅平險': 3, '機場': 10, '出國': 1, '旅行': 2, '國外': 1}"
341,{},{},{}
342,{},{},{}
343,{},{},{}
344,"{'永豐': 1, '玉山': 1, '兆豐': 1, '中國信託': 1, '國泰世華': 1, '台新': 1}",{},{}
345,{},{},{}
346,{},{},{'運動': 2}
347,{},{},{}
348,{},{},{}
349,{},{},{}
350,"{'台新': 2, '國泰': 5, '中國信託': 1, '國泰世華': 1}",{},"{'機票': 9, '保費': 5, '加油': 1, '飯店': 1}"
351,{},{},{'加油': 1}
352,"{'國泰': 1, 'KOKO': 2, '兆豐': 1, '台新': 1}",{},"{'電影': 1, '機票': 1, '海外': 2}"
353,{},{},{}
354,{'國泰世華': 2},{},"{'旅遊': 3, '出國': 2, '國外': 3, '海外': 5, '機場': 2, '機票': 1, '加油': 1, '中油': 1}"
355,{},{},{}
356,{},{},{}
357,{},{},{'旅遊': 1}
358,{'國泰': 1},{},{'機場': 1}
359,"{'中信': 1, '玉山': 1}",{},{}
360,{},{},"{'國外': 2, '出國': 1}"
361,{},{},{'電影': 1}
362,{},{},{}
363,"{'台新': 16, '中國信託': 1}",{},{}
364,{},{},{}
365,{},{},{}
366,{'兆豐': 8},{},"{'飯店': 3, '國外': 1, '出國': 2, '機場': 1}"
367,{},{},{'保險': 2}
368,"{'台新': 1, '玉山': 1, '兆豐': 1}",{},{'中油': 1}
369,"{'中信': 1, '台新': 1, '國泰': 1, '玉山': 1}",{},{'機票': 4}
370,{'中信': 2},{},{}
371,{},{},"{'旅遊': 6, '海外': 2, '出國': 1}"
372,"{'中信': 1, '台新': 1}",{},{}
373,{},{},{}
374,{},{},{'飯店': 1}
375,{},{},{}
376,{'國泰': 1},{},{'機票': 12}
377,{'兆豐': 1},{},{}
