,bank,card,act
1544,KOKO,GoGo,海外
1545,,,
1546,國泰世華,,海外
1547,,,
1548,,,
1549,,,旅遊
1550,國泰,,機場
1551,中信,,
1552,國泰世華,,
1553,,,國外
1554,,,電影
1555,,,
1556,台新,GoGo,
1557,,,
1558,,,
1559,兆豐,,飯店
1560,,,保險
1561,台新,,中油
1562,中信,GoGo,機票
1563,國泰,,保險
1564,中信,,
1565,,,旅遊
1566,中信,,
1567,,,
1568,,,飯店
1569,,,
1570,國泰,,機票
1571,兆豐,,
1572,兆豐,,國外
1573,,,
1574,,,
1575,,,
1576,,,
1577,,,
1578,永豐,,
1579,永豐,,旅遊
1580,,,保費
1581,,,
1582,台新,,保費
1583,,,
1584,,,
1585,,,旅遊
1586,,,
1587,,,旅遊
1588,,,機場
1589,,,
1590,永豐,,國外
1591,,,飯店
1592,,,
1593,,,
1594,,,
1595,,,
1596,玉山,御璽,旅遊
1597,兆豐,,機票
1598,,,
1599,,,電影
1600,台新,,
1601,國泰世華,,
1602,,,
1603,,,旅行
1604,國泰,,保費
1605,國泰世華,,保險
1606,國泰世華,,加油
1607,中信,,
1608,台新,,
1609,,,
1610,,,
1611,,,
1612,國泰,,加油
1613,中信,,機票
1614,,,
1615,,,
1616,國泰世華,,
1617,,,
1618,,,
1619,KOKO,,國賓
1620,,,
1621,中信,,
1622,台新,,
1623,玉山,,加油
1624,中信,,
1625,,,加油
1626,,,
1627,永豐,GOGO,海外
1628,,,飯店
1629,國泰,GoGo,海外
1630,國泰世華,,
1631,,,
1632,,,
1633,中國信託,,
1634,國泰,,
