,age,serveTime,ApplyCard,credLimit,Loan,SalPerY,holdCard,Caree
410,,12,['簡單卡'],,0,340000,1,2
411,25,3,"['上海商銀', '簡單卡', '華南']",60000,0,400000,0,3
412,41,144,['上海商銀'],250000,2,1500000,1,2
413,27,,[],,0,,0,2
414,23,12,"['上海商銀', '小小兵信用卡']",150000,0,420000,1,3
415,30,65,"['上海商銀', '簡單卡']",,0,1500000,1,2
416,26,0,['上海商銀'],150000,0,900000,1,2
417,22,12,"['上海商銀', '簡單卡']",30000,1,350000,0,2
418,31,72,"['上海商銀', '簡單卡']",,0,460000,1,2
419,25,3,[],,1,280000,1,2
420,27,55,[],,0,500000,1,2
421,,,[],,,,0,2
422,38,180,['中信'],,0,600000,1,3
423,29,,['中信'],,3,600000,1,3
424,27,,['中信'],165000,0,600000,1,3
425,,,"['中信', 'LINEPay']",450000,,,1,2
426,,,"['中信', 'LINEPay']",140000,1,,0,3
427,,,[],,,,1,2
428,25,4,[],,0,400000,1,2
429,25,7,"['中信', 'LINEPay']",,0,335000,1,2
430,32,60,"['中信', 'LINEPay']",,0,1000000,0,2
431,22,5,"['中信', 'LINEPay']",,0,400000,1,2
432,23,12,"['中信', 'LINEPay']",,1,330000,0,2
433,21,,"['中信', 'LINEPay']",50000,0,,1,2
434,26,60,[],50000,0,300000,1,2
435,26,12,"['中信', 'LINEPay']",215000,0,800000,0,2
436,24,6,[],,0,900000,1,2
437,21,,"['中信', 'LINEPay']",20000,0,270000,0,1
438,27,24,"['中信', 'LINEPay']",,0,450000,1,2
439,23,8,"['中信', 'LINEPay']",,1,330000,1,3
440,,4,"['中信', 'LINEPay']",80000,0,,0,2
441,26,12,[],30000,0,600000,1,2
442,,5,"['中信', 'LINEPay']",,0,400000,1,2
443,,,[],800000,0,,0,2
444,20,7,[],,0,200000,0,1
445,,2,"['中信', 'LINEPay']",100000,0,,0,2
446,,6,"['中信', 'LINEPay']",150000,0,1000000,0,2
447,29,2,"['中信', 'LINEPay']",100000,0,500000,0,2
448,,,[],,,,1,2
449,,1,"['中信', 'LINEPay']",20000,0,,1,2
450,20,7,[],,0,200000,0,1
451,,,['中信'],,,,0,2
452,28,12,[],200000,0,950000,0,2
453,28,12,[],200000,0,950000,0,2
454,36,84,[],800000,0,,1,2
455,24,5,['中信'],,1,700000,1,2
456,30,24,[],230000,0,600000,1,2
457,30,24,[],230000,0,600000,1,2
458,27,48,[],,1,,0,2
459,28,60,[],,1,,0,2
460,27,24,['中信'],,,550000,1,2
461,,,[],,,,1,2
462,27,24,[],,,,1,2
463,,64,['中信'],125000,0,,1,2
464,,64,['中信'],125000,0,,1,2
465,28,40,[],,0,,1,2
466,,38,[],50000,0,500000,1,3
467,,36,[],170000,0,500000,0,2
468,28,28,[],,,,1,2
