,age,serveTime,credLimit,Loan,SalPerY,holdCard,Career
3110,,60,110000,2,430000,1,2
1305,,48,80000,0,430000,1,2
2729,,1,80000,0,430000,0,2
1262,23,17,60000,1,430000,1,2
2425,24,37,50000,0,430000,0,4
1831,24,4,30000,0,430000,0,2
3210,43,13,10000,0,431000,0,2
1180,33,60,170000,,440000,0,2
32,27,36,100000,,440000,0,2
900,22,1,50000,0,440000,0,2
2635,,48,300000,,450000,1,2
3324,30,36,300000,,450000,0,2
773,33,48,210000,0,450000,1,2
1304,,24,210000,0,450000,0,2
1198,,48,200000,,450000,1,2
2535,31,24,200000,,450000,0,2
2681,26,0,200000,0,450000,1,2
1030,33,120,190000,,450000,1,2
39,26,36,180000,0,450000,1,2
1944,34,6,180000,,450000,0,2
2307,29,24,180000,0,450000,1,3
3115,23,,180000,0,450000,0,3
525,28,36,150000,0,450000,1,2
823,24,12,150000,0,450000,0,2
847,24,10,150000,3,450000,0,2
977,35,72,150000,0,450000,0,2
1679,31,24,150000,,450000,0,2
2243,26,36,150000,,450000,0,2
2445,32,6,150000,,450000,0,2
2453,33,7,150000,,450000,0,2
1415,,36,140000,,450000,1,2
2009,31,72,140000,0,450000,1,2
3013,22,7,136000,0,450000,1,2
334,24,22,120000,1,450000,1,2
353,23,28,120000,1,450000,1,2
1918,32,60,120000,0,450000,0,2
1279,,25,110000,0,450000,1,2
2469,27,20,110000,3,450000,1,4
3383,,12,110000,,450000,1,2
3025,,,107000,,450000,0,2
84,21,24,100000,0,450000,1,2
574,23,12,100000,0,450000,1,4
840,30,,100000,0,450000,0,2
1087,23,7,100000,0,450000,0,2
1675,23,8,100000,0,450000,0,3
1936,25,1,100000,,450000,0,2
1963,31,0,100000,,450000,0,4
2224,24,5,100000,,450000,0,2
2377,,54,100000,3,450000,0,2
2604,29,37,100000,,450000,0,3
2605,23,4,100000,,450000,0,2
3145,25,11,100000,0,450000,1,1
3497,24,,100000,1,450000,0,2
1648,23,12,90000,1,450000,0,2
2392,26,24,90000,0,450000,1,2
2816,26,24,90000,0,450000,1,2
1190,22,3,88000,1,450000,1,2
270,26,12,80000,0,450000,1,2
709,26,12,80000,0,450000,1,2
1128,,36,80000,0,450000,0,2
1698,33,,80000,2,450000,1,2
5,,48,60000,0,450000,0,2
325,,0,60000,,450000,0,2
436,25,36,60000,3,450000,0,1
596,30,15,60000,0,450000,1,2
1018,24,12,60000,0,450000,0,2
1026,25,12,60000,0,450000,1,2
495,24,12,50000,0,450000,1,2
1125,23,17,50000,1,450000,1,2
1461,28,6,50000,0,450000,1,2
1800,22,3,50000,0,450000,1,2
2090,29,9,50000,0,450000,0,2
2443,35,17,50000,,450000,0,2
2060,29,60,45000,0,450000,0,2
685,28,48,30000,0,450000,1,2
918,25,48,30000,0,450000,0,2
1792,25,5,30000,1,450000,0,2
1803,25,1,30000,1,450000,0,2
390,21,36,20000,0,450000,1,1
2601,24,13,170000,,470000,0,2
969,28,22,150000,0,470000,1,2
2058,,48,150000,0,470000,1,2
2074,28,17,150000,0,470000,1,2
318,27,4,125000,0,470000,1,2
2763,,48,120000,0,470000,1,2
1787,26,12,100000,0,470000,0,3
1474,30,11,300000,0,480000,1,2
2218,35,60,250000,,480000,0,2
153,23,12,220000,,480000,0,2
442,28,15,195000,0,480000,1,3
411,24,48,170000,1,480000,1,2
3172,27,8,120000,0,480000,0,2
1204,24,12,100000,,480000,0,2
2664,34,,90000,,480000,0,2
91,29,10,80000,1,480000,0,2
588,27,24,80000,1,480000,0,2
3276,22,3,80000,0,480000,1,2
3068,24,22,70000,1,480000,1,2
175,25,0,60000,0,480000,1,3
1459,27,4,60000,0,480000,0,2
2423,24,36,60000,0,480000,0,2
947,22,24,50000,0,480000,0,2
2595,26,13,50000,1,480000,0,2
2614,27,14,50000,,480000,0,2
2873,25,13,50000,,480000,0,3
3322,24,,50000,0,480000,1,2
2417,30,7,80000,0,489000,0,2
2979,23,5,141000,0,490000,1,2
259,29,24,800000,2,500000,1,2
2990,30,24,800000,2,500000,1,2
3315,23,,500000,0,500000,1,3
2554,,102,400000,0,500000,0,2
2764,27,24,300000,1,500000,1,3
3367,23,,250000,2,500000,0,2
1023,28,12,220000,0,500000,0,4
1094,28,24,210000,,500000,1,2
315,24,6,205000,1,500000,0,2
29,27,4,200000,0,500000,1,2
445,25,24,200000,,500000,0,2
1196,35,7,200000,,500000,1,2
1974,,10,200000,0,500000,1,2
